gene,gene_effect,z_score,mean,stddev
VARS2,-1.4392287391832017,-2.695735694996012,-0.5785111439888615,0.3192885700152491
SSH2,-0.6786576928857428,-2.6914939546860412,-0.19487776147771993,0.17974401561100853
THOC6,-1.0209783521068223,-2.689736824700969,-0.4564994523815331,0.20986398912393409
SND1,-0.23833762305186723,-2.668643442845997,0.10807359432621876,0.12980798101999452
REXO2,-1.0493525668832033,-2.6547924874250723,-0.30954742748167713,0.2786677839815177
TMED8,-0.3946939855944864,-2.6426809750519253,-0.016370921970326677,0.14315881000987118
CCDC9,-0.6161116661565355,-2.6422467867254844,-0.21432176946784598,0.15206372800120785
MYPN,-0.22302445645273766,-2.633380613560518,0.04797710047575791,0.10291013594198305
ZNF580,-0.5355444659616848,-2.6316245506303453,-0.11661343527256565,0.15919103300232318
SLC4A2,-0.22007564607897953,-2.6251609173959745,0.16276221041468944,0.14583405305051722
GUCA1B,-0.23437775854217408,-2.6191388094055092,0.03608412271527716,0.10326366830433113
C14orf119,-0.43568718625402164,-2.617374268930403,-0.10428987626953463,0.12661441426942482
ARHGAP45,-0.5673970126450225,-2.6109430299776717,-0.0514896284767262,0.1975942708227947
PPA2,-1.4559981847935806,-2.587619999720464,-0.458025679525751,0.3856719709136731
GCLM,-0.4885332797587887,-2.5820854148515657,-0.055718338879957224,0.16762223991095676
PPM1N,-0.5248274396470709,-2.579702498897875,-0.13531774092935467,0.1509901621927824
ADAM15,-0.3476589597171436,-2.577644487642796,-0.04301499025779149,0.1181869613594165
NUDT1,-0.416655591156781,-2.5619295665451562,-0.0075238386925646035,0.15969672148947625
GPR78,-0.23879328691095308,-2.5512417294053424,0.05873406954260339,0.11662060596778723
PRRT2,-0.4322423543299009,-2.53961834219464,-0.05811810179630161,0.14731514823219286
FARS2,-1.3379390347331386,-2.532270539952155,-0.5107969354273546,0.32664049368177384
S100A6,-0.36088160361316357,-2.5268650994372455,-0.036979143166732696,0.12818351898507235
UCK2,-0.48244626306103616,-2.51297689446551,-0.10868522169624482,0.14873238277198217
UBE3D,-0.7948570014359674,-2.5082505812068816,-0.20939825007867463,0.23341318277521964
UNC13D,-0.516928549470324,-2.5062727784865846,-0.13750593338258726,0.1513891940831961
DARS2,-1.1070488929000242,-2.501999870434825,-0.37695715981828665,0.291803265743117
MYB,-1.3207850822876794,-2.49177505287961,-0.37810794052304014,0.37831550672089687
UBE2K,-0.8377603011277062,-2.4912562114686225,-0.2039649597227863,0.2544079322260036
AGPAT1,-0.6175576259659314,-2.4835119430757104,-0.08378246827891182,0.21492755820049117
PRPF39,-1.0891196200263122,-2.466804358580201,-0.43323101424057775,0.2658859440978283
BACH2,-0.22923876064562038,-2.4640784258992428,0.06523228221616013,0.1195055481054001
VAPA,-0.5908539692417882,-2.4610022819727497,-0.15915040271426673,0.17541778392073093
MRPL43,-1.7706403969896052,-2.45351604860128,-0.7896493334526258,0.3998307099300331
API5,-0.6881328889711064,-2.45215707227702,-0.20972602558467268,0.19509633734114568
COPS6,-2.7974621728000333,-2.450914748443798,-1.8484537681300177,0.3872057994969372
MICOS13,-0.8393454249385478,-2.4487077912407096,-0.3109844278631292,0.2157713545754306
TMEM108,-0.20596628227715227,-2.442700745869156,0.04404548298384301,0.10235055017844058
HNRNPH3,-0.5934287738563282,-2.440557293078775,-0.11913825269899783,0.1943369747976744
BRMS1,-0.8992429815182813,-2.4387103286961476,-0.3706002859997216,0.2167714177850707
SREK1,-0.8264728460022612,-2.4218972434733637,-0.3012107513143402,0.21688042137354116
ZBTB3,-0.46448261159888404,-2.4122609104221824,-0.12418551765378884,0.14106977088375489
PRKAG1,-0.5717211946586237,-2.3939904722319243,-0.2095420860154855,0.15128677947722888
DDX28,-0.8800831799464056,-2.38352734004676,-0.33870314411866853,0.22713397355749076
ZAP70,-0.3944027913711674,-2.3833349981621383,-0.03263352345845256,0.15179119519148004
NT5C1A,-0.26015404863403974,-2.3825604345098697,0.012330221809150372,0.11436615268869117
POLG,-0.9408697368994795,-2.3699824664373215,-0.28046848240968814,0.2786523798560165
POLG2,-0.9798079880828809,-2.365729530582511,-0.4342662391370838,0.2306019102747849
MRRF,-0.3561199985681053,-2.3652389038714614,0.008068718289791712,0.15397544673469854
MBOAT7,-0.24178442524865637,-2.364474395855237,0.05434609153243638,0.12524158320351847
TUFM,-0.8857888429360214,-2.363960456993547,-0.3365255414173158,0.23234876873416538
PPIL4,-1.6843728422680129,-2.3560933392811614,-0.9539632822487987,0.3100087538306358
EBNA1BP2,-1.5674347140381002,-2.3510852254370453,-1.0170434822747112,0.23410092743918984
ORC3,-1.0622453549060824,-2.3505771122002868,-0.4871672959569958,0.2446539855953833
RASGRP3,-0.3267404753774204,-2.3479595568566323,-0.008533706356092711,0.13552480837759065
CCND3,-1.1867608720312883,-2.346757918187061,-0.34309452763309245,0.3595029286403571
H2AC1,-0.3440163859373405,-2.3440914214427453,-0.06830348564094832,0.11762036999678789
FEM1A,-0.620782305486509,-2.3433598442709105,-0.21082237362096534,0.1749453601280321
CORO2B,-0.19615417280133204,-2.343342006940376,0.0523065901351086,0.1060283826264215
EIF4E2,-0.8192644865021544,-2.342396367858095,-0.24941625122379496,0.2432757508924218
MEF2B,-0.5597885598622055,-2.341620082658294,-0.1879708810773976,0.1587865091943979
H2BC7,-0.31527343853996753,-2.3412791477350807,-0.003483042332265065,0.1331709619117071
ZNF138,-0.3012446022302815,-2.335045216967534,0.012678105446378114,0.13443966968842824
PMM2,-1.2049697102210573,-2.334904342798644,-0.33013571026804367,0.3746765912064848
POLRMT,-1.3384095304399946,-2.3329556175971367,-0.6423281702350143,0.2983688823544444
PHRF1,-0.2822511657995828,-2.332751087284781,-0.009485265498207853,0.11692884928364233
NMNAT1,-1.4730305762809932,-2.3326430594662955,-0.41838277090992265,0.45212566967377005
ATG5,-0.1724295009242542,-2.329855074559716,0.11492315711543295,0.12333499245397896
MRPS26,-1.1052650188676778,-2.327364689145925,-0.4742190985954715,0.2711418297335179
SS18,-0.38261183310785973,-2.3232552924430214,0.06023410007356654,0.19061440842162086
CLPSL1,-0.25174145720987506,-2.321883740523093,0.1339834520197412,0.16612584967011182
STMP1,-0.23640915812281416,-2.320114632154117,0.00011334015223559526,0.10194431559420399
BCOR,-0.4752644923469207,-2.3198000371311127,0.011006779118294516,0.20961775311745617
PRPF31,-2.9799491900743185,-2.316814052891299,-2.0954855487056476,0.3817585793149401
SLC39A1,-0.37639528378515874,-2.313919610839412,0.028951875414064732,0.1751777189235097
MMP17,-0.6043021185226316,-2.308977694928866,-0.1909601958432915,0.17901512153501947
ZIC5,-0.36011706515525965,-2.30115537054971,-0.05909620552540658,0.1308129227093188
RTN4RL1,-0.2976204499461156,-2.3003874326412332,-0.0372404228623125,0.11318964074883806
TAF11,-0.5918508097372446,-2.295652306486548,-0.19526702391240172,0.1727542906668679
SLC41A1,-0.20847166402874379,-2.2954754801572164,0.04323900204687349,0.10965513169340309
NUDT5,-0.4415684745091038,-2.290690043524158,0.08109211484889031,0.22816731178256502
WDR91,-0.37815321588794554,-2.2905490940259785,-0.02540851411040775,0.15400006168718997
POLD1,-3.099042663351234,-2.2880685207342175,-2.224570190835531,0.3821880614987412
RCCD1,-0.3189942376931582,-2.2844300208521164,0.08266468346752952,0.17582456783283942
FBXW2,-0.24776898866480096,-2.284078646590088,0.03828218827038531,0.1252370085251808
TRPM5,-0.33865783849799397,-2.2831701232416193,-0.07044931385210257,0.11747198420111242
ZNF688,-0.4711093809460849,-2.282569679481496,-0.15479828926000042,0.13857675168888475
PI4KB,-0.9602871647032678,-2.2780382555875853,-0.3344270887702139,0.2747364204257504
DNLZ,-1.1811179543233188,-2.274165371780568,-0.4595025778942719,0.3173099834266032
PASK,-0.39801083631184886,-2.263408181636543,0.016446002430867235,0.18311184085366597
HTN1,-0.2792544180828676,-2.263296986809645,0.07117169043860601,0.15482992756307956
FOXK1,-0.9085524883198131,-2.261924927523534,-0.25261452124169675,0.28999104218559063
FAM110C,-0.33842024101121737,-2.260431578171618,-0.005036525028241126,0.14748675394662392
S1PR5,-0.24703210580379334,-2.2574795201386606,0.023212009960344705,0.11971055035198676
PIK3AP1,-0.19630741841540095,-2.255257989455196,0.08815842447404358,0.12613450178183966
PHKA1,-0.3544048601116682,-2.2522062420329982,-0.09550344691379731,0.11495457581370011
EIF4E,-2.2035971611101943,-2.251143179279604,-1.4200908096352365,0.3480482088774515
IGSF8,-0.4282598542540813,-2.2458054306431543,-0.019618833885113932,0.1819574459983119
LHX4,-0.44479755948111344,-2.2444127226719233,-0.1491390413398843,0.1317309045500572
OR10G7,-0.12410294893876897,-2.2437914548345907,0.11201575442902612,0.10523201826936338
TSBP1,-0.19383584655949393,-2.242880435602582,0.06472384299753693,0.11528019302890977
GFM2,-0.7004782378300715,-2.238373551533642,-0.1909793171968926,0.22762014869416722
OGFR,-0.6350176846420272,-2.2366308078371078,-0.16894081018751517,0.20838346356555065
TWNK,-1.247154567661153,-2.232727681533967,-0.43826516850373376,0.36228753100856537
TNFAIP8L2,-0.5012000031531552,-2.2249591778969795,-0.21164521101252043,0.13013937290045946
SKP1,-1.9188591910446204,-2.2234835845360434,-1.29419737597345,0.28093835250936366
SLAMF7,-0.2624101973977988,-2.222794601265659,-0.024591786829230557,0.10699072709334208
PNPLA1,-0.1981342366030521,-2.220146274861018,0.0410890268395688,0.10775112709976568
RHOA,-1.3469633318774648,-2.2132924779872334,-0.4425120140912284,0.40864518665366073
BIVM,-0.22705867989407114,-2.200069564003159,0.015631437182010533,0.11031020157130506
EAPP,-1.209587657860327,-2.1920289588319855,-0.6113578334892118,0.2729114603895926
AKT1S1,-0.29750579036599256,-2.190003585729993,0.03238270056193629,0.15063376748671725
GP1BB,-0.5503961129445039,-2.187020953049535,-0.19599821633603864,0.16204595393304322
CCDC40,-0.2376569083299092,-2.183565028935032,0.044732351417790236,0.12932486827993683
GART,-1.1750821470327941,-2.1792841379978354,-0.36540514829661275,0.37153347038080703
SLC4A1AP,-0.6135749288778919,-2.1730535210842126,-0.21680178859722693,0.18258783616277474
PGM3,-0.9977102453669606,-2.1690823629043976,-0.29527212372022127,0.32384114760224036
G6PD,-0.6930239553234967,-2.1686965276911483,-0.13916865987261542,0.255386260077859
INO80,-1.1542606639232162,-2.167012118996831,-0.6549392989784945,0.23041927664708733
SCAF4,-0.7589494536370835,-2.1667517175429514,-0.22579971972687055,0.24605944907928495
COQ2,-1.0339148246554861,-2.164827178220948,-0.47514138985964016,0.2581145693371446
PDCD6IP,-1.1707084100396168,-2.164672082752439,-0.4574122152456713,0.329516974176971
DUSP23,-0.16934216301832652,-2.164419458586186,0.07574572057821286,0.11323492894331698
SNCB,-0.20761317366550355,-2.1634337915362276,0.0496116592351514,0.11889655875163288
CAD,-1.3306404581260334,-2.1561151501989797,-0.46072760020543085,0.40346307934449677
MICALL2,-0.29647435352259716,-2.1501617998986204,-0.042727703720227335,0.11801281643750433
XRCC1,-0.8041718839402088,-2.1452289844100036,-0.3785911320850228,0.19838476682349704
THAP11,-1.319536650378836,-2.136761133685683,-0.58277584799435,0.34480260370219895
NDUFA13,-0.8458038733940485,-2.133466850993622,-0.39998625276163524,0.20896393137056807
UQCRC1,-1.0862916234746396,-2.1334237511643646,-0.5153951596472351,0.2675963757860222
SLC25A46,-0.45736008277815154,-2.1269178107256193,-0.07624896085196466,0.17918469627943312
SRPRA,-1.152203293728392,-2.124127766296769,-0.6261612452753015,0.24765085076318116
TUBB6,-0.19600834108469395,-2.123080354299104,0.08870876651846221,0.13410566728038434
KNDC1,-0.27312190435728984,-2.120987301892323,0.045752942340703845,0.15034264769689892
BCAT2,-0.22394223870508595,-2.1201342892868955,0.038708031013998126,0.12388378936478885
PARS2,-1.320065645826491,-2.116378008976941,-0.585567867349051,0.3470541535406035
MNT,-0.5866709177921341,-2.1153201027439454,-0.05749564607446756,0.2501632121924395
OSGIN2,-0.25100657351873823,-2.115114991365936,0.014680639204176534,0.12561360200626
TBX6,-0.3984868649125949,-2.1137164921664446,-0.11092420105810012,0.1360459952506491
GAB3,-0.14724305735075344,-2.113246317258342,0.08701291070606341,0.1108512368594746
PHB1,-2.698229282860246,-2.110653245799124,-1.9437920317532986,0.35744253709533724
KDM5C,-0.6551632960124557,-2.1101431651310842,-0.17342712339848876,0.2282954922558731
CSRP2,-0.25421110163570193,-2.103814891449394,0.010395906890420047,0.1257748529119996
EIF4H,-0.6699341493052395,-2.1006751704061264,-0.2803811848410098,0.18544179031207234
OPTN,-0.1963464071715826,-2.0877781906243267,0.06387959149987363,0.12464255055449093
CLSTN2,-0.19710078407924853,-2.084606849508843,0.04159453130321906,0.11450375663819148
CFAP45,-0.29060416145139045,-2.0837276011305867,-0.026351721399171302,0.1268171712602172
LRRC61,-0.1216214704109827,-2.082247371282466,0.1041048859247085,0.10840515850749535
PCYT2,-0.5667819570967686,-2.08044688787589,-0.12377171602034429,0.21293994269122254
IHH,-0.2610196240916313,-2.0789751733089132,-0.0029439732368980393,0.12413599458428261
