gene,gene_effect,z_score,mean,stddev
FOXN1,-0.5488786802854955,-2.9641085404612744,-0.14998475301518785,0.13457466952550656
DNLZ,-1.3995768750715383,-2.9626369993956225,-0.4595025778942719,0.3173099834266032
API5,-0.7875371796986385,-2.9616709467159525,-0.20972602558467268,0.19509633734114568
SERPINA1,-0.344921414374262,-2.9580752161733965,0.01994720531072003,0.12334663354401808
MPDU1,-0.6635625122300638,-2.955794274372519,-0.16219856040756545,0.1696207196046931
FOLR1,-0.3026371318594344,-2.9555312646116714,0.019052583839605616,0.10884327956561372
TTC14,-0.7856833577416384,-2.9536680733871763,-0.19735595799222444,0.1991853468743826
OR1Q1,-0.4294373686875764,-2.9481969399146766,-0.105428370584067,0.109900730754061
POTEC,-0.4876722661512141,-2.947046850148207,-0.038710721709875336,0.15234285957101784
KRTAP19-8,-0.46472514290428774,-2.9386490793014963,-0.11843090076830891,0.1178413048958848
MPP2,-0.5691717481447363,-2.9354783801296858,-0.14239653768229765,0.14538523374973186
DUSP29,-0.4233125086140265,-2.934558059905911,-0.11241876461926573,0.1059422705730105
LITAF,-0.31587977995548283,-2.929506895658588,0.04768271133976308,0.12410364755721551
DZIP1,-0.1732474899157721,-2.918833992853434,0.1016599475216049,0.09418399200176136
ALAD,-0.7448488223935862,-2.902434983308588,-0.09515203488346222,0.22384542332435356
MOGS,-0.8464194096120485,-2.8900154321556437,-0.292715007542536,0.19159219563630775
MRPS15,-0.9182265386625643,-2.8796771834702444,-0.295095794233519,0.21638909666885725
OR51I2,-0.626257360095661,-2.8684208693558477,-0.21281799189597017,0.14413483482029457
PDGFA,-0.30669446544413564,-2.8644412298356574,0.011000565163642947,0.11090994896271823
SLC25A1,-0.8925352026248687,-2.8590500195152906,-0.24556579370311446,0.22628824417399956
CRYBB3,-0.4526815909008093,-2.856929016227041,-0.04106998158476675,0.1440748464446033
PCARE,-0.23328122376580834,-2.8551050656777637,0.03818286785319212,0.0950802458663841
TBX4,-0.4950914610032295,-2.849432747088207,-0.07849343476141529,0.14620384589442567
MEGF11,-0.3341553115926758,-2.848860437795259,-0.007685839318112962,0.11459651302793145
HDAC1,-0.8517298654987632,-2.847127923629657,-0.13098015372112579,0.25314974637978
ZNF467,-0.2364180831776072,-2.844254490107826,0.07122211485608208,0.10816198026711267
RAB17,-0.3378622115866626,-2.842647108407667,0.007234547895215325,0.12139978911247509
STK11,-1.2346754659453285,-2.842022272402143,-0.18371431739876995,0.3697934244752635
CCL27,-0.5329934017910014,-2.8413654515525653,-0.13269832743742138,0.14088123515926215
