gene,gene_effect,z_score,mean,stddev
C20orf144,-0.1437533840757622,-0.7840818048319071,-0.0557432131356155,0.11224615900762352
NRIP3,-0.12117943441810891,-0.7840756012175878,-0.03632463881092553,0.10822272173169617
NEXN,-0.14745317929980478,-0.7839917351148281,-0.030128237217353228,0.14965073842936297
MCF2L2,-0.1292780000893155,-0.7839872460057462,-0.03203781768447617,0.12403286265211337
SLC66A1,-0.02653692038321062,-0.783927347267308,0.07325700180279428,0.1272999628522675
MRPS22,-0.7457344566277415,-0.7832551912109921,-0.5486047862060068,0.2516800049763503
MRPS7,-0.63487263974702,-0.7827565311066589,-0.45522150964110836,0.22951086700218448
AMER1,-0.016709373798837482,-0.7826782937545238,0.08206809836324443,0.12620443539866724
LAMA3,-0.0990250359378665,-0.7826531497362363,0.0032568788553890495,0.1306861344999708
TGM3,-0.017290857410612592,-0.7826280311419399,0.057908463703842145,0.09608564748790137
LPXN,0.00338387593400484,-0.7825207558154924,0.08008301528798423,0.09801546960124849
IKZF1,-0.1239279597804577,-0.7818374741788368,0.015700087333665316,0.17858960682432656
DUSP13B,-0.2232336477911464,-0.7815275549430015,-0.13070358922953185,0.11839641222677423
MUL1,-0.15644109983203291,-0.7813965298283231,-0.05227520738789102,0.1333073394465006
MYLK2,-0.30892610025057093,-0.7813961938106073,-0.18827359136146132,0.15440631762067814
CAPN11,-0.1477582867271821,-0.781330784332095,-0.03222237507223222,0.14787067650702315
ZNF112,-0.05459238264776198,-0.7808179356279128,0.04288651375636036,0.1248420303328873
C17orf49,-0.4643970036404593,-0.7807058871459724,-0.33929102085497137,0.16024726448885646
LDLR,-0.4019536023330374,-0.7804557416795879,-0.21329457765861487,0.24172930583919713
DTX3L,-0.07019931760551242,-0.7804527455100781,0.01806027977356446,0.11308768902003583
DICER1,-0.7766725411366128,-0.7795966121878881,-0.5542214370735871,0.28534129136186326
ZNF232,-0.18624978843441145,-0.7793172354325947,-0.08954112120912075,0.12409409522632751
GIMAP6,-0.04584521297855849,-0.7791402131158081,0.029079333893759017,0.09616311109484608
PCDHGC4,-0.08356586071820535,-0.7789188468629927,0.020863625512718986,0.13406979000636876
GTF3C5,-0.8182147910896473,-0.7789050934620739,-0.6153932292950354,0.2603931640671543
MUC4,-0.035821458512317265,-0.7784575762850355,0.05214885220251235,0.1130059150231957
GALR3,-0.05649398372931858,-0.7782516721172574,0.039992719048225114,0.12397879276641795
ZNF134,-0.11556416053405365,-0.7775980708635437,0.0018748270146628934,0.15102787924653333
HAUS2,-0.5354453622013295,-0.7770694664891968,-0.38575336238156366,0.19263657404540033
FGF21,-0.17696453071393242,-0.7767788767012505,-0.08443299657762608,0.11912210400115451
RBMX2,-0.8855858327090558,-0.7766637564583708,-0.7093131343055898,0.22696140631987138
HELLS,-0.0746374963091164,-0.7766389308933906,0.032758431364568213,0.13828295672757984
RANBP1,-0.6056271669131615,-0.776181091574825,-0.4336266537894976,0.22159843236413448
HARS2,-0.8125335700047495,-0.775818689706978,-0.5390813222803572,0.3524692706586812
SUDS3,-0.6938553831481894,-0.7749941412248491,-0.4955990306944794,0.2558165822265098
VEGFD,0.003288362005514675,-0.7747857810313726,0.08526232570342175,0.1058021013095848
CDO1,-0.02711216790179758,-0.7746604807276101,0.050423698090966376,0.10009012712244902
COPA,-2.4229219901742916,-0.7746220508551613,-2.094784624531366,0.42360963682956226
GDA,-0.07593621084083892,-0.7746121068003137,0.023791781495326212,0.12874571861277903
NUTF2,-2.0150124578000277,-0.7741538312766703,-1.7443159260203762,0.34966762527447703
ROM1,-0.03418291134855024,-0.7740785439313004,0.06520944694815727,0.12840086975144036
PGGHG,-0.18444381716922428,-0.7740266670067824,-0.08984123230757149,0.12222135088379824
LMO1,-0.007349501675641856,-0.7738070196648198,0.084827179375384,0.11912101946419776
FOXN1,-0.25411186387862866,-0.7737497051308391,-0.14998475301518785,0.13457466952550656
ASF1A,-0.3664642645997769,-0.773644504917692,-0.19795201267042492,0.2178161298350849
CSDE1,-0.5408825581147145,-0.7734475763855841,-0.32457855622288834,0.2796621367703309
ZNF304,0.04728783814583214,-0.7731600923663989,0.12134190283810703,0.09578102313276256
BMAL2,-0.176704325427186,-0.7728415058216148,-0.07292923290781551,0.13427732819427995
GALNT11,-0.006327973327314745,-0.7727193233327415,0.08587461006791856,0.11932221779774213
CCDC74A,-0.19753112935880918,-0.7726634989629738,-0.062085867026901116,0.1752965715524225
C7orf33,-0.06733205944637333,-0.7720642889157381,0.02858408615460227,0.12423336628569767
CBFA2T3,-0.07247291789128377,-0.772002005579656,0.02984721664261536,0.13253869004792582
SH3BP5,-0.03308895288775597,-0.7719825065442661,0.07474131972671005,0.13967968406066847
MINDY2,-0.42387743343832796,-0.7717288070035803,-0.2794231171918392,0.1871827446838052
NIT1,-0.1151176056113288,-0.7713632095408058,-0.019576366330796187,0.12386024910030195
OR5K4,-0.14147117592922762,-0.7708455461434645,-0.0475786938392105,0.12180453342405703
CFAP20,-0.8440352858682953,-0.7707401422782133,-0.6126146548852756,0.30025765921438685
FBXL2,-0.13812068844522413,-0.7706187238435332,-0.04548836292251146,0.12020513213162047
DEFB129,-0.33422087628540453,-0.7704926061777017,-0.22411630353887502,0.1429015306100623
RNF217,-0.13084629795304897,-0.7701908173359961,-0.02651641916164041,0.13545978015198096
HOXA11,-0.24841088755939936,-0.7699626219323299,-0.13503161954062276,0.14725295071367922
ZDHHC6,-0.03498462193785438,-0.7699322724434843,0.03952212754279929,0.09677052404128536
EMC3,-1.2559014706749494,-0.7696797439619967,-0.8977555355478702,0.465318124761203
ISL1,-0.23957446841374025,-0.7691990410220821,-0.06411779281285455,0.22810308677419253
LSM1,-0.14031648778303457,-0.7691907020151104,-0.010412993292449161,0.16888333952850293
AP2M1,-1.0732643367090482,-0.7691051314593017,-0.7568768506400675,0.4113709207331206
DKK3,-0.13808483781791323,-0.7689938822174256,-0.05360062757291359,0.10986330606608459
